,opinion_id,author,recommendation,stars,content,pros,cons,useful,unuseful,post_date,purchase_date
0,3422858,Użytkownik Ceneo,Polecam,5.0,"UWAGA, UWAGA do wszystkich zgłaszających problem z jakością rozmów głosowych: niestety, spotkał mnie ten sam problem, telefon dostałem od jednego z głównych operatorów telefonii komorkówej w PL. zainteresowałem się tematem w internecie, głównie na anglojęzycznych forach, nikt praktycznie nie zgłaszał podobnych perpetii, a i tutaj, na ceneo, można było natknąć się na przeczące sobie opinie. Załóżyłem w związku z tym, że być może winny jest brandowany soft. Tak postawioną tezę postanowiłem sprawdzić empirycznie i wziałem się za wgranie czystego oprogramowania prosto od samsunga. Efekt? BINGO! jakość rozmów żyleta, tak więc zapraszam do lektury for androidowych jak sobie poradzić z debrandowaniem telefonu z androidem (generalnie bułka z masłem). pozdrawiam serdecznie! 5 gwiazdek, bo telefon sam w sobie nie jest niczemu winny. Za to programisci i testerzy naszych rodzimych operatorow juz tak:)",[],[],57,7,2015-11-17 17:55:59,
1,3529254,Marcin,Polecam,4.5,"Ogólnie spoko, chociaż telefon po wyjęciu z pudełka trafił do serwisu w celu wymiany wygiętej ramki, która powodowała odklejanie się wyświetlacza. Usterka usunięta w ciągu godziny po uprzednim zamówieniu części, za co ogromny plus dla autoryzowanego serwisu Unitra Eltron Serwis w Lublinie, że w ten sposób realizują naprawy (nie trzymają niepotrzebnie sprzętu w serwisie). Sam telefon bez zastrzeżeń, dokładnie to czego oczekiwałem. Minus jedynie za przycisk home, który trzeba dosyć mocno naciskać (w Note3 chodzi dużo lepiej). Całkiem wytrzymała bateria.",[],['przycisk home - trzeba mocno naciskać'],3,0,2016-01-13 00:44:40,2015-12-27 14:12:05
2,6706897,zedi,Polecam,4.0,"Wady Słaby dźwięk z głośnika głównego - z tyłu, szybko padająca bateria. nagrzewa się niekiedy-  bez powodu, brak smartStay, co występuję w niektórych tańszych modeli Samsunga i u konkurencji, nakładka potrafi przymulić, u mnie problem z modułem BT.

Zalety:
Funkcjonalność oprogramowania, aparaty foto, LTE, - na sofcie z T- Mobile jest o wiele lepiej, wyświetlacz - ładnie odwzorowane kolory, skromny design, tylna obudowa, czule mikrofony, ULTRA tryb oszczędzania energii -baterii, szybki  Soc - rodzimy Exynos via Samsung.","['ekran nie do zbicia', 'wyświetlacza:  design:  żywotność']","['bateria lądująca w godzine 100%', 'czas pracy na baterii', 'słaba jakość dźwięku z głośniczka', 'wady oprogramowania', 'wododporność']",0,2,2018-03-14 00:45:39,
3,3580458,Janek,Polecam,5.0,Smartphone szybki i stabilny. Super ekran dotykowy. Aparat robi świetne zdjęcia.Przy normalnej eksploatacji bateria wystarcza na 2dni.Wszystkie pozostałe funkcje bez zarzutów. Jestem w pełni zadowolony.,['wyświetlacza:  design:  żywotność'],[],37,16,2016-02-12 11:13:47,2016-01-25 12:30:40
4,3287614,maciej,Polecam,4.0,"Generalnie bardzo dobry smartfon, moim zdaniem lepiej wykonana obudowa głównie jeśli chodzi o spasowanie elementów i ramkę otaczającą telefon. Plusem jest też procesor choć nie tak wydajny jak w starszej siostrze to wystarczający i nie powoduje takiego grzania obudowy jak w zwykłej s5. Działanie na baterii wygląda dobrze, po włączeniu miałem 44 procent po czym nastąpiła aktualizacja do 5.1.1 bawiłem się w ustawienia i sprawdzałem funkcje czyli użytkowany 20 godzin bardzo intensywnie. Zakładam że na moje potrzeby wytrzyma spokojnie dwa do trzech dni. Jedyny minus to nie zawsze reagujący przycisk fizyczny pod wyświetlaczem na komendę, myślę jednak że to nie wada samego przycisku a błąd softu który zostanie poprawiony przy aktualizacji.",['funkcjonalność'],[],35,14,2015-08-21 14:25:23,
5,3668612,aREk,Polecam,5.0,"Po zmianie ze starego Samsunga S-Advance - bez porównania. Telefon działa prawidłowo, szybko, nie wiesza się. Menu bardzo intuicyjne. Wielki pozytyw. Przyzwyczajenie do Samsunga skłoniło do kolejnego Samsunga - nie zawiodłem się. Polecam wszystkim ""nie do końca"" zdecydowanym.",['funkcjonalność'],[],1,1,2016-03-31 21:12:25,2016-03-23 11:23:35
6,3621067,Mateusz,Polecam,4.5,"Super telefon nie zacina się, szybko się uruchamia ogólnie wszystko super, głośnik rewelacyjny.
Tylko szkoda że samsung nie zostawił mu aparatu 4K i czytnika lini papilarnych ale jedno mnie bardzo roszczarowało szybko bateria się rozładowuje max 1 dzień trzyma. Ale polecam !

POLECAM",[],[],9,8,2016-03-03 21:57:18,
7,3341535,Pawel,Polecam,4.5,"Zamieniłem z Galaxy S Plus,  który jeszcze dawał sobie radę ale zamulał czasem S5 neo jeszcze się nie zająknął po wgraniu wielu apek.",[],['bateria dwa dni trzyma przy dość intensy'],12,5,2015-09-28 09:31:30,2015-09-02 11:00:33
8,3602206,Użytkownik Ceneo,Polecam,5.0,"Kupiłem ten telefon praktycznie nowy 2 tygodniowy i wszystko jest tak jak powinno być. Nic się nie zacina, rozmowy są dobre, wiem że dużo osób miało problem z tym głośnikiem u mnie jest w porządku. Bateria trzyma spokojnie 2 dni przy dosyć sporym użytkowaniu i spędzaniu czasu na internecie. Zdjęcia robi bardzo dobrej jakości, jedyny minus to że obudowa tylna drga przy słuchaniu głośno muzyki. Moim zdaniem telefon zbyt drogi w sklepach jak np. Media Markt 1499zł lepiej znaleźć na Olx mi się udało kupić za 970zł i uważam że cena jest adekwatna   jak na ten smartfon, więcej niż  1000zł nie warto za niego wydawać hajsu. Więc każdemu mogę polecieć za rozsądną cenę pozdrawiam",['bateria dwa dni trzyma przy dość intensy'],[],7,2,2016-02-24 16:08:31,
9,3836682,Maestro,Polecam,4.0,Poręczny estetyczny wygląd! Brak papierowej instrukcji co przy pierwszym użyciu produktu jest trudne w związku z wyborem języka i prawidłowej instalacji telefonu! Natomiast cała reszta jest ok!,[],[],0,0,2016-07-21 18:17:58,2016-07-06 14:55:27
10,3421811,Tomek,Polecam,4.5,"Szukałem jego poprzednika, ale już go nie sprowadzają do sklepów (dziwna logika). Ale do rzeczy, przed kupnem naczytałem się recenzji i opinii i obawiałem się złej jakości rozmów - nic bardziej mylnego. Żona ma S5 i stwierdzamy, że jakość rozmów jest taka sama. Przesiadłem się z S3 mini więc wiadomo dużo szybszy i wydajniejszy. Bateria trzyma długo, nawet 4 dni (wyłączone dane komórkowe i mało używany) z LTE wczoraj przez 6h zjadło 40%. Brakuje mi tej podczerwieni (aplikacja pilot z programem telewizyjnym jest genialna). Prócz tego nie ma się czego przyczepić, sprzęt z górnej półki. Polecam.",[],[],10,1,2015-11-17 11:12:51,
11,3982361,Ewa,Polecam,4.5,"Przepiękny wizualnie, mam go niedługo ale póki co wszystko działa w 100% bez najmniejszego przycinania się, mimo dużej ilości aplikacji.",['funkcjonalność'],[],0,0,2016-09-25 21:51:28,2016-09-12 16:53:59
12,8486982,Użytkownik Ceneo,Polecam,4.0,"Super telefon. Uzytkuje go od 3 lat.  Ani razu sie  nie zaciol. Ani razu nie zwolnil i nie zamulil. Wszystko wnim dziala jak nalezy. Zakupiony w sieci T-mobile. Dokupilem do niego orginalna obudowe neo hybrid spigena  co  nadalo telefonikowi indywidualny charakter.  I przez ten caly czas noszenia go w kieszeni nie starl sie lakier z ramki - niesamowite. Lepszego telefonu nie mialem.   Jedynu minus to polityka samsunga ktora przy aktualizacjach czyms musi ""postarzyc"" telefon.  bateria faktycznie trzyma jeden dzien ale to przeciez samsung :)  i nigdy lepiej nie bylo. Na plus moge zaliczyc ze nie zauwazylem starzenia sie baterii. Po takim okresie uzywania nadal zachowuje moc gdyby byla nowa.","['funkcjonalność', 'wygląd']",[],0,0,2018-10-26 19:53:04,
13,3334116,Waldek,Polecam,5.0,"Szukałem wydajnego smartfona do wszystkiego, za rozsądną cenę, z wymienną baterią i wejściem na kartę pamięci. Mój wybór to S5 Neo. Chyba się nie rozczaruję? Pozdrawiam!",[],[],3,6,2015-09-22 14:17:51,2015-09-13 00:28:05
14,3665226,Łukasz,Polecam,4.0,"Smartfona używam od 5 miesięcy. Optymalny rozmiar, bardzo dobry wyświetlacz, niezły czas pracy na baterii (wytrzymuje mi spokojnie od rana do wieczora przy intensywnym użytkowaniu), dobra jakość dźwięku (z zastrzeżeniem, że do zestawu dołączone są najbardziej prymitywne ""pchełki"", które warto czym prędzej wymienić na coś lepszego), jakość rozmów głosowych po aktualizacji oprogramowania bez zastrzeżeń (jedna z wcześniejszych aktualizacji była wadliwa i uniemożliwiła normalne prowadzenie rozmów) zapewniona aktualizacja Androida do wersji 6.0, płynność interfejsu dobra (przewijanie menu trochę klatkuje i nie jest to)",[],[],4,0,2016-03-30 01:39:48,
15,3802566,Biały,Polecam,4.5,Produkt chodzi płynnie nie zawiesza się aplikacje ładują się szybko. Parę bajerów umila życie np. pulsometr oraz wodo- i pyło- odporność,[],[],0,0,2016-06-30 11:14:46,2016-06-26 18:40:16
16,3771522,Ania,,3.5,"Telefon z serii: fajny był jak był nowy. Niestety zawiodłam się bardzo na tym modelu w dłuższej perspektywie ponieważ ma problemy z łapaniem ostrości na zdjęciach, z tym że się często zacina i tym, robi czasem dziwne rzeczy takie jak odblokowuje się lub chce się wyłączyć z niewiadomych przyczyn. Fajny telefon ale nie jako odmiana flagowca, od tego poziomu (ceny) telefonu dużo więcej się wymaga. Kupiłam samsunga za namową znajomych i jako następny telefon na pewno samsunga nie wybiorę (albo wrócę do Sony, albo przejdę na iPhone)",['funkcjonalność'],['po pół roku użytkowania się zawiesza'],3,0,2016-06-04 17:38:30,
17,4150190,Mariusz,Polecam,5.0,"Samsung Galaxy S5 Neo który zakupiłem kilka dni temu sprawuje się bardzo dobrze, jest szybki, menu przejrzyste i estetyczne. Polecam.",[],[],0,0,2016-11-04 15:43:21,2016-10-25 21:28:30
18,4034143,madebyme2212,Polecam,5.0,"Jestem z niego bardzo zadowolona. Bateria trzyma 2 dni, zdjęcia ładne. Menu proste. Mogę z czystym sumieniem polecić ten model.",[],[],0,0,2016-10-11 11:33:40,2016-09-28 14:46:46
19,3735102,Norbert,Polecam,4.0,Pierwsze wrażenie pozytywne. Czas pokaże czy takie odczucie zostanie na stałe.,['funkcjonalność'],[],0,0,2016-05-09 11:23:23,2016-05-01 16:01:26
20,3330673,F,Polecam,5.0,"ekonomiczna ewolucja wersji s5... generalnie udany telefon w dobrej cenie. na plus nieco lepszy aparat, ale nieznacznie. brak pilota na podczerwień. Chodzi płynnie nie czuć braku mocy w normalnym użytkowaniu. Pod tym kątem prawie jak S6. Słabsze podzespoły ujawniają się dopiero przy grach. Oczywiście nie stanowią problemu. Jeśli ktoś ma jednak możliwość, niech wybierze lepiej ""stary"" S5.  Będzie to korzystniejsze. Menu w S5 o wiele bardziej bogate a działa równie dobrze. W całej sprawie ważna jest także polityka samsunga. .. który telefon dostanie   aktualizacje do androida M ???
Gdybym miał jeszcze raz wybierać to chyba jednak S5... ale nie żałuję, S5 neo jest równie Dobry!",[],[],4,4,2015-09-20 08:13:53,
21,3688463,Łukasz,Polecam,4.5,"Duży ekran, telefon w trybie oszczędzania energii trzyma 2-3 dni co wydaje mi się dobrym wynikiem.",[],[],4,2,2016-04-11 14:47:16,2016-03-30 22:05:22
22,3315223,Użytkownik Ceneo,,3.0,"Wszystko ładnie pięknie tak jak na flagowca przystało (płynność systemu i super amoled) + dobrze działające radio FM, rzec by można super urządzenie. Niestety telefon (być może tylko mój egzemplarz) posiada fatalną jakość połączeń głosowych. Moi rozmówcy skarżą się, że bardzo słabo mnie słychać (jakby coś przysłaniało mikrofon, może wada mikrofonu) ja za to słyszałem ich głos wyraźnie ale chropowato. W porównaniu z moim starym galaxy core jakość rozmów jest fatalna. Nie wiem czy nie jest to spowodowane tym, że telefon jest wodoodporny, ale jeżeli tak to niestety bardzo na tym traci jakość fonii.",[],['słaba jakość dźwięku z głośniczka'],12,15,2015-09-10 12:22:23,
23,3480187,Użytkownik Ceneo,Polecam,5.0,"DO WSZYSTKICH MAJĄCYCH PROBLEM Z FATALNĄ JAKOŚCIĄ ROZMÓW!!!
Problem leży po stronie operatora i dotyczy tylko PLAY! Wystarczy WYŁĄCZYĆ TRANSMISJĘ DANYCH i jakość diametralnie się zmienia!
Jest to wina PLAYa, który nic z tym nie robi i dotyczy to najnowszych softów Samsunga. Najwidoczniej szanowny operator nie nadąża za najnowszymi aktualizacjami Samsaunga i całkowicie olewa klientów!!!!!",[],[],17,2,2015-12-17 08:51:17,
24,6275279,mmyy66,,3.0,"Gdyby ktoś jeszcze raz zaproponował mi ten telefon, nie zdecydowałabym się na niego. 
Telefon już po pół roku użytkowania zaczął się zacinać, samoistne wyłączać lub po prostu ekran stawał się cały czarny (ani włączyć, ani wyłączyć), 2 x usunął mi całą muzykę oraz zdjęcia z telefonu.
Po przywróceniu ustawień fabrycznych  stan się poprawiał na kilka dni, a później znów to samo. Zaletą jest,że telefon jest nie do pobicia. Po całym dniu zacinania, zdarzyło mi się nim rzucić o ścianę, a mimo wszystko telefon jest cały i nie ma na nim ani jednej rysy . (nie naklejałam szkła hartowanego). Zdarza się nim zrobić naprawdę profesjonalne zdjęcia (światło dzienne) jak ""załapie"". I ostatni pozytyw to bateria, która przy ""siedzeniu"" cały dzień na telefonie ( o ile pół dnia się nie zacina), spokojnie wytrzymuje do późnego wieczora.","['czas pracy na baterii', 'ekran nie do zbicia', 'łatwość obsługi', 'wygląd']","['bateria lądująca w godzine 100%', 'funkcjonalność', 'nie daje rady z wieloma aplikacjami', 'sam nie raz się wyłączył', 'zacina się']",0,0,2017-11-30 15:07:56,
25,4003926,Jakub,Polecam,5.0,Jak na razie sprawuje się rewelacyjnie,[],[],0,0,2016-10-03 17:10:08,2016-09-22 09:44:14
26,3694882,Stanisław,Polecam,4.5,"Tak, jak w opisie danych technicznych",['funkcjonalność'],[],0,5,2016-04-15 08:50:41,2016-04-09 09:16:26
27,4506974,Wonski,Polecam,5.0,Zajefajny telefonik za rozsądną cenę.,[],[],0,0,2017-03-20 20:59:47,2017-03-08 22:49:08
28,3809255,Łukasz,Polecam,5.0,"Co prawda jest to już starszy model, ale w zupełności spełnia moje oczekiwania. Nie przepadam za telefonami szklanymi i metalowymi, więc plastikowy tył telefonu oceniam jako plus. Bateria jak na parametry telefonu mogła by być trochę pojemniejsza, ale za to szybko się ładuje. Jasny ekran, pełny kolorów ekran (o ekranie można w zasadzie pisać w samych superlatywach).",['funkcjonalność'],[],0,0,2016-07-04 15:11:17,2016-06-28 15:38:06
29,3945464,sernik,Polecam,5.0,Spoko tel.,[],[],0,0,2016-09-13 19:42:56,2016-09-03 22:46:38
30,3920337,Użytkownik Ceneo,Polecam,5.0,"Nie słyszę problemów z jakością połączeń głosowych a słuch mam dobry. Przyznam, że wogóle telefony jak na ich cenę i zaawansowanie techniczne całej infrastruktury telefonicznej prezentują marną jakość rozmów. Dźwięk w telefonie jest lepszy od mojego poprzedniego telefonu, swoją drogą topowego, Sony Ericsson W995 więc nie mam zastrzeżeń. Poza tym za tą cenę telefon jest na prawdę dobry pod każdym względem. Najbardziej miło zaskoczył mnie aparat przedni.","['funkcjonalność', 'wododporność']",[],0,0,2016-09-03 10:13:23,
31,4148150,Pawel,Polecam,5.0,Ok,[],[],0,0,2016-11-03 20:04:49,2016-10-22 23:19:04
32,3572891,An...,Polecam,5.0,OKI !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1,[],[],2,18,2016-02-08 14:46:12,2016-01-15 15:43:51
33,3745544,bartek,Polecam,4.5,dobre,[],[],1,3,2016-05-15 20:48:30,2016-04-25 10:01:20
34,5130808,Użytkownik Ceneo,Polecam,5.0,"Użytkuję już od trzech lat. Nie znajduję wad. Ale - tak jak każdy smartphone- absolutnie musi mieć etui. Kupiłem jedno z tych pancernych. Telefon nie tylko pewniej leży w dłoni, ale także nie będę dzięki niemu zamierał, ilekroć wyleci z dłoni. Tylko tak się składa, że - choć pancerne etui ochrania telefon już od ładnych paru miesięcy - do jakichkolwiek upadków nie dochodzi - zasługa ochronnej obudowy, telefon nie jest już śliski.","['czas pracy na baterii', 'wygląd']",[],0,0,2017-10-16 14:58:58,
35,3691624,Użytkownik Ceneo,Polecam,5.0,ok,[],[],3,6,2016-04-13 12:14:49,2016-03-30 21:14:57
36,3634909,Rysio,Polecam,5.0,ok,[],[],1,6,2016-03-10 12:55:27,2016-02-19 12:40:22
37,3336762,Elżbieta,Polecam,5.0,bardzo dobry,[],[],3,11,2015-09-24 09:37:52,2015-09-16 12:10:22
38,4560305,Użytkownik Ceneo,Polecam,4.0,"Mam ten aparat od 1,5 roku. W zasadzie jako telefon działa bez zarzutu, lecz aparat robi niestety nieostre filmy. O ile zdjęcia są zadowalającej ostrości to filmy niestety nie.  Był 2 razy w serwisie gdzie wymieniono to co nie było powodem usterki, stwierdzili, że jest wszystko OK, a niestety nie jest.  Nie mam już sił dalej udowadniać z tą ostrością, Mam zamiar zmienić go na inną markę. ""Wyleczyłem "" się z samsunga.!!!!!",[],[],0,0,2017-04-11 08:55:39,
39,3430797,Dawjd,Polecam,5.0,Godny polecenia !!!,[],[],28,38,2015-11-21 14:42:41,2015-11-16 16:03:56
40,3362748,Użytkownik Ceneo,,3.0,"Niestety w moim egzemplarzu jakość dzwięku w słuchawce też jest fatalna - głos jakby ""z tunelu"". Szczególnie jest to denerwujące bo w wiele straszym galaxy s 2 dzwięk był doskonały. W końcu telefon służy głównie do rozmów i wszystkie pozostałe zalety bledną przy tej wadzie. Ponadto co jakis czas pojawia się komunikat o niedomknietej tylnej obudowie. Czy może ktoś sobie z tym poradził bez oddawania do serwisu?",[],[],11,10,2015-10-12 11:09:33,
41,3539450,An...,Polecam,5.0,ok!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,[],[],2,22,2016-01-19 10:07:59,2015-12-23 09:20:14
42,3735610,Użytkownik Ceneo,Polecam,5.0,"1. Niezawodny.
2. Szybki.
3. Maksimum możliwości, jakich nie ma iphone.
4. Wspaniały obraz.
5. Dobry dźwięk.
6. Wodoodporny - myślałem, że to zbędna zaleta, byłem w błędzie.
7. Szalenie wydajna antena wifi.
8. Radio (S6 na przykład nie ma!).
9. Długa praca na jednym ładowaniu.

Minusy? Tylna klapka nieco trzeszczy. Szczęśliwie z czasem owy dźwięk zanika.",[],[],1,0,2016-05-09 17:26:56,
43,3453049,Krzysztof,Polecam,4.0,"Zdecydowalem sie zakupic ten telefon w play. Jest naprawde.swietny. Tylko jedna podstawowa wada: rozmowcy mnie nie slysza!!! I nie tylko jeden rozmowca,ale praktycznie kazdy z kim rozmawiam...Mysle,ze po prostu wadliwe aparaty trafily do play i sa sprzedawane w promocyjnych cenach za zlotowke... Jesli producent zobliguje sie do poprawy jakosci rozmow telefon ma 5 gwiazdek u mnie☺☺☺",[],[],0,2,2015-12-03 18:27:33,
44,3567617,PawelDudzic,Polecam,5.0,super telefon,[],[],1,16,2016-02-04 20:03:10,2016-01-08 16:55:24
45,5108502,Użytkownik Ceneo,Polecam,4.0,"Mialem ten telefon od 2lat i mogę napisać że jest bardzo dobry.  Super aparat,  piękny ekran superamoled. Ale bateria mizerna…  ledwo starcza na caly dzien w 3g i do godziny rozmów. Nie zacina się nigdy ale nie jest demonem szybkości…  no i ta cena…  jest o 1000zl za drogi jak na dzisiejsze czasy.  Lepiej wybrać jakiegoś chińczyka o lepszej jakosci",[],[],0,0,2017-10-08 13:45:01,
46,3579401,jolwia,Polecam,4.0,Moze być,[],[],0,16,2016-02-11 18:00:38,2016-02-06 16:32:14
47,3473655,Użytkownik Ceneo,,3.0,Telefon sam w sobie jest super ale jest jedna podstawowa sprawa która przekreśla go całkowicie. Jakosć rozmów. Rozmoę słychać tak jak by człowiek siedział w jakiejś beczce i w dodatku występuja zakłócenia. Telefon kupiłem trzy tygodnie temu w Saturnie. Szkoda było tylko wydanych 1500zł dlatego przestrzegam innych. Pozostałem funkcje bez zarzutu ale jak ktos już tutaj napisał wszystko blednie przy kiepskich rozmowach a do tego w zasadzie telefon służy.,[],[],1,5,2015-12-14 15:10:12,
48,3515886,An...,Polecam,5.0,oki !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,[],[],5,32,2016-01-05 21:18:58,
49,3567598,PawelDudzic,Polecam,5.0,ok,[],[],2,21,2016-02-04 19:55:18,2016-01-13 16:45:20
50,3723896,daroha,Polecam,5.0,"Dla mnie ważne: obsługuje usb OTG - DAC Ifi iDSD nano, bateria przy normalnym użytkowaniu 2-3 doby.",[],[],12,2,2016-05-01 19:09:45,2016-04-11 16:30:59
51,6565069,Użytkownik Ceneo,Polecam,5.0,Cały czas używam telefonów Samsung i jest to najlepszy model tej firmy.Za niewielkie {stosunkowo}pieniądze mam telefon który przewyższa wszystkie aparaty seri A i S6 iS7.Naprawdę polecam super telefon.,"['bateria lądująca w godzine 100%', 'czas pracy na baterii', 'wododporność']",[],0,0,2018-02-07 13:27:09,
52,3539255,Użytkownik Ceneo,Polecam,5.0,"Okrojona wersja starej s 5 ale .... okrojenie  zrobione z głową/brak biometów, niedziałającego czytnika linii papilarnych  etc./ w mojej ocenie telefon wart uwagi, dobry aparat , bateria 2 - 3 dni, generalnie jak dla mnie super.",[],[],2,0,2016-01-19 08:40:18,
53,3357096,Użytkownik Ceneo,,3.5,"Ogólnie telefon bardzo fajny...ale... ja również potwierdzam, że jakoś połączenia(głośnik) jest ""jak z akwarium"" - tragedia; mój poprzedni Samsung Galaxy Core to przy tym najwyższy model kina domowego!",[],[],2,3,2015-10-07 22:48:42,
54,3937689,Endriu,,3.5,"Ogólnie wszystko ok, ale jak dla mnie jest za cichy.",[],['funkcjonalność'],0,0,2016-09-10 07:20:54,2016-08-30 09:16:53
55,3793563,Łukasz,Polecam,5.0,Idealnie chodzi jest wszystko to co powinien zawierać ten telefon. Odświeżony S5 i jestem zadowolony.,[],[],0,0,2016-06-21 17:27:24,2016-06-09 18:55:33
56,4039110,RiK,Polecam,4.0,"Telefon funkcjonalny, intuicyjne menu, fajne zdjęcia, dobrze leży w dłoni
Ogólnie bez zastrzeżeń",[],[],0,0,2016-10-12 10:25:09,2016-09-23 09:30:38
57,3843363,Użytkownik Ceneo,Polecam,4.5,"telefon bardzo fajny przyjemnie się go trzyma w dłoni  ma bardzo fajny wyświetlacz aparat robi zacne zdjęcia moja ocena to 4,5 na 5",['funkcjonalność'],[],0,0,2016-07-25 22:38:01,
58,8054759,Użytkownik Ceneo,Polecam,5.0,Telefon mam od 3 lat . Działa jak mażenie . Przerzył wiele wypadków i działa jak nowy . Jak naj bardziej polecam ten telefon .,"['bateria lądująca w godzine 100%', 'czas pracy na baterii', 'ekran nie do zbicia', 'funkcjonalność', 'łatwość obsługi', 'po pół roku użytkowania się zawiesza', 'przycisk home - trzeba mocno naciskać', 'wady oprogramowania', 'wygląd', 'wyświetlacza:  design:  żywotność']","['potrafi zamulac', 'wododporność']",0,0,2018-06-16 12:56:54,
59,5080419,Użytkownik Ceneo,Polecam,4.0,"Opinia po roku użytkowania. Na początku super, bateria trzymała cały dzień zabawy. Potem przez częste ładowanie bateria trzymała pare h. Po zakupie nowej oryginalnej znowu bez rewelacji. Nie wiem z czego to wynika. Przy uzywaniu od 7 rano o 15 już mam 15% a staram się wyłączać wszystko w tle i mam przyciemniony ekran. Czasami potrafi masakrycznie przycinać, ostatnio jeszcze bardziej. Nawet nie włączam trybu oszczędzania baterii bo wtedy lewo działa. Wyczyściłem telefon do 0 i bez rewelacji. Za to aparat na wielki plus","['funkcjonalność', 'wygląd']",['czas pracy na baterii'],0,0,2017-09-28 08:23:58,
60,3884558,Waldi,Polecam,5.0,super sprzęt,['funkcjonalność'],[],0,0,2016-08-16 19:33:40,2016-07-17 15:32:35
61,3881944,Daro,Polecam,5.0,Telefon O.K.,['funkcjonalność'],[],0,0,2016-08-14 14:18:31,2016-07-18 23:14:44
62,3576803,Użytkownik Ceneo,Polecam,4.0,"Witam! Czy problem z szumami podczas rozmowy został rozwiązany nową aktualizacją? Chcę zakupić ten telefon, ale z tego co czytam to spory problem. Pozdrawiam",[],[],0,1,2016-02-10 13:49:10,
63,3996099,Maciej,Polecam,5.0,Super telefon. Spełnia w pełni moje oczekiwania. Polecam,[],[],0,0,2016-09-30 07:04:15,2016-09-19 09:44:52
64,3690613,Aneta,Polecam,5.0,Telefon godny polecenia. Odpowiednia jakość za odpowiednie pieniądze. Jest super,[],[],1,4,2016-04-12 19:09:01,2016-04-06 23:00:10
65,4003928,Jakub,Polecam,5.0,Jak na razie sprawuje się rewelacyjnie,[],[],0,0,2016-10-03 17:10:48,2016-09-22 09:44:14
66,3800701,Użytkownik Ceneo,Polecam,5.0,"świetnie sprawdza się w każdej sytuacji, dobry wyświetlacz i bateria, menu łatwe i ładne",['funkcjonalność'],[],0,0,2016-06-28 16:16:55,
67,5018265,Użytkownik Ceneo,Polecam,4.0,"Produkt bardzo dobry, jedyny minus to krótko trzymająca bateria. Zdjęcia fajne :)","['funkcjonalność', 'łatwość obsługi', 'wygląd']","['bateria lądująca w godzine 100%', 'czas pracy na baterii', 'wododporność']",0,0,2017-09-07 15:53:09,
