,12535429,13551598,18299406,15226709,11176459,13501735,14283834,18283057,13654028,13243464,11195663,11159265,16089474,12113236,11175209,12994706,15350354,12347514,13052806,15436403,18426644,11718481,12410583,17155499,16618399,13301094,12260419,13532706,15488838,16895817,12275625,11916949,13196564,11687425,17057527,13499005,15967999,13355625,14281219,18240134,17856821,15613956,14871955,12157146,16501020,16001107,12215968,13621184,15569815,16263998,16629967,13476212,13098827,13192635,12104701,17454482,13266383,11146148,12259002,16145481,13447308,13073770,12340788,16742248,18246374,13296391,12339792,13024721,14179739,16439266,16514675,15905984,13099328,17439873,16337907,13283055,13060392,11319277,12046268,12145968,12145926,13466015,15730485,15798075,11644241,11818859
author,g...6,b...a,U...o,k...l,Madziana,g...k,Użytkownik Ceneo,u...g,p...m,m...i,psh3m,Michal,D...5,Użytkownik Ceneo,Monika,w...e,m...c,Użytkownik Ceneo,k...o,l...7,a...a,Użytkownik Ceneo,Użytkownik Ceneo,k...9,kimi087,e...2,Użytkownik Ceneo,a...m,r...i,k...k,Użytkownik Ceneo,paulina 85 85,m...6,Użytkownik Ceneo,b...1,d...r,a...k,o...s,r...z,s...i,h...9,i...4,s...i,jozef mazurek38,o...r,a...k,Użytkownik Ceneo,j...a,m...g,k...5,m...a,s...y,e...o,p...n,Użytkownik Ceneo,m...k,s...e,Sandi,Użytkownik Ceneo,Zdzisław,g...3,a...4,Izabela,m...4,a...n,Wojciech,Użytkownik Ceneo,j...z,l...6,a...w,b...o,u...a,x...e,m...j,r...a,a...s,d...b,Edytask,Użytkownik Ceneo,Użytkownik Ceneo,Katarzyna,w...d,b...o,b...o,Użytkownik Ceneo,Użytkownik Ceneo
recommendation,,Polecam,Polecam,Polecam,Polecam,,Polecam,,Nie polecam,Nie polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,Polecam,,Nie polecam,Nie polecam,Nie polecam,Nie polecam,Nie polecam
stars,3.0,4.0,4.5,4.0,5.0,3.5,4.0,3.5,1.0,0.5,5.0,5.0,5.0,5.0,4.5,5.0,5.0,3.5,4.5,5.0,5.0,4.5,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,4.5,4.0,5.0,4.0,4.5,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,1.0,2.0,0.5,1.0,2.5
content,"Instalacja łatwa. Oprogramowanie HP Smart bezproblemowe. Zwrot 100zl Cashback z Promocji po kilku dniach od zakupu. Skanuje. Drukuje. 
Przez pierwsze 2-3 dni wszystko w porządku, wydruki czarne i kolorowe bardzo dobre. Po 3 dniu, zupełnie nagle, drukarka zaczyna drukować białe poziome kreski na wydrukach kolorowych. W czarnym bardzo dobrze. Wydruki w najlepszej jakości są bardzo dobre. Wydruki w jakości normalnej i roboczej są moim zdaniem wadliwe. Kupiłem 2 drukarki. Jedną udało mi się zwrócić w ramach 14 zwrotu. Druga niestety została. 
Producent HP raz uznał gwarancję. HP przysłałi nową głowicę kolorową, a jak problem nie został rozwiązany, całą nową drukarkę. Trzecia drukarka tak samo, drukuje białe kreski na wydrukach kolorowych. 
Zgłoszone ponownie do HP, tym razem w ocenie wsparcia HP, drukarki atramentowe tak drukują... Pozostawię to bez komentarza. Chciałem zgłosić w ramach rękojmi, niezgodność produktu z umową (reklamują outstanding printing quality), ale niestety kupiłem na firmę i rękojmia jest wyłączona. Nie wiem czy wadliwa seria drukarek, głowic, oprogramowania czy może ja coś źle robię przy 1-szym uruchamianiu, ale HP nie chce poznać i rozwiązać problemu. Dobre jest to, że po kilku dniach, pierwsze strony wydruków wychodzą ok, a kreski pojawiają się dopiero na 3-4 stronie. Może z czasem się to poprawi samo, jeśli problemem jest zapowietrzenie głowicy lub aktualizacja oprogramowania sprzętowego... 
Co ciekawe, HP nie wymaga odciągania tuszy strzykawką do wysyłki drukarki a sklep tak. Drugi raz bym nie kupił, chyba że sprawdzoną przetestowaną.","Wykonana dobrze, trochę za duża, z ledwością mieści mi się na biurku, ale może być. Drukuje ciszej w porównaniu z poprzednią drukarką HP 209a. Napełniłam tusze do pełna i po ok.10 kartkach ubyło mi 4 mm czarnego tuszu w pojemniku. Mam nadzieję, że będzie wydajna. Na razie nie mogę tego stwierdzić. Fajnie, że można zobaczyć, ile ubyło tuszu. Dolewanie jest banalnie proste, tusz nie wylewa się. Martwi mnie tylko, że przenosić trzeba ją w pozycji poziomej, bo inaczej tusz może się wylewać. Ogólnie jestem zadowolona z zakupu.","Po 1 dniu uzytkowania mozna stwierdzic 1-polaczenie z kompem poprzez wi fi-bez problemu
2-tankowanie zbiorniczkow-bez problemu
3-montaz ,,glowic,,-beznadziejny dostep,jakies pomaranczowe badziewie ciezko wydostac z wnetrza drukarki(po cholere takie zabezpieczenie)ale udalo sie
4-polaczenie z telefonem -bez problemu
5-jak z kompa tak i z telefonu(za posrednictwem aplikacji  HP SMART) bez problemow
6-druk na zwyklym papierze spoko (czern i kolor )
7-po testach na papierze foto -zobaczymy
8-ogolnie -za taka kase polecam","Wszystko z opisu się zgadza. Baaardzo ekonomiczna, jakość druku wysoka, jak na czołg drukarkowy niewielka... Przypomniałem sobie tyko dlaczego nie lubię HP-ków. Mało intuicyjna aplikacja, nie tak denerwująca jak kiedyś ale konfiguracja trwała zbyt długo. A poza tym zupełnie spoko.","Drukarka od samego początku jest bardzo przyjazna, pierwsze uruchomienie pomimo że na początku wygląda na dość skomplikowane po obejrzeniu szczegółowej instrukcji jest banalnie proste :) Konfiguracje i podłączenie do sieci wi fi trwało bardzo krótko i była wyjątkowo  łatwe :) Drukarka została skonfigurowana została na komputerze oraz smartfonie z androidem, zarówno na komputerze jak i na smarthonie aplikacja do sterowania drukarki jest bardzo przejrzysta i intuicyjna. Na pochwałę zasługuje  aplikacja dla androida która jest konfigurowalna  i można przystosować ją dla swoich potrzeb, jeśli chodzi o wydruk to można przyznać że, drukarka drukuje cicho, bardzo szybko a jakość wydruku zarówno w kolorze czarnym jak i w kolorze jest rewelacyjna :) kolory żywe, wyraziste, obrazki nierozmazane. Mogę oficjalnie przyznać że spełniła moje oczekiwania w wydruku jak i w wyglądzie :)","produkt na wstępie nie ruszył bo był problem z dyszami , po wymianie chodzi  OK , trochę długo i hałaśliwie  trwa proces włączania","Bardzo wydajna i oszczędna drukarka. Solidna, dobra jakość wykonania.
Długo się czeka przy włączeniu zanim będzie gotowa do pracy. Dość głośna.",urządzenie przy pierwszym użytkowaniu wydaje się dobre. Problem z konfiguracją drukarki w systemie win7 na starszym urządzeniu.,"Drukarka jak na tą cenę jest bardzo słaba, Czas  potrzebny do wydrukowania pierwszej strony to prawie dwie minuty. A odgłosy wydaje takie, jakby za chwilę miała rozpaść się. W tej cenie należałoby też oczekiwać dwustronnego automatycznego wydruku. Wprawdzie info o dwustronnym wydruku jest na stronie sklepu, ale w rzeczywistości nie ma to nic wspólnego z dwustronnym wydrukiem, kartkę trzeba przenosić ręcznie zgodnie z wyświetlona instrukcją.",Niestety pierwsze wrazenie po uruchomieniu sprzetu negatywne. Odrazu trzeba bylo skladac reklamacje poniewaz jakosc druku odbiegała od normy. Po zgloszeniu okazalo sie ze jest uszkodzona glowica. Zobaczymy jak przyjdzie nowa glowica czy cos to da. Jaknarazie to wielka porażka a myslalam ze sprzet za ta cene bedzie działał bez zarzutu. Niestety pomyliłam się.,"HP Smart Tank 515 drukarka, która ma wszystko to, co chciałbyś mieć.
Proste uruchomienie i łatwa konfiguracja - proszę bardzo, zrobione.
Czyste dłonie przy wymianie tuszu, oraz jego dziecinnie proste uzupełnianie - jednak to możliwe.
Masz złe wspomnienia ciągle szukając miejsca na drukarkę w pobliżu komputera ? - to już możesz mieć tylko złe wspomnienia, bo szybka konfiguracja i drukujesz zdalnie po sieci, bez względu na to gdzie jesteś ze swoim komputerem, tabletem, telefonem.
Chcesz mieć błyskawicznie swoje ulubione foto w ramce na ścianie ? - jakie to proste, wyślij zdjęcie prosto z telefonu do drukarki i włóż w ramkę.
Czy ja chciałem kiedyś coś więcej od drukarki ?
Czy jeszcze miałem w tym temacie jakieś życzenia ?
Naciskam ""Drukuj"", otrzymuję super dobry wydruk w kolorze i... zapominam, że mam drukarkę :)  
Czytaj mniej","Drukarkę posiadam od kilku dni. Od samego początku poddana została intensywnej i ciężkiej pracy. Drukowanie zarówno dokumentów jak i zdjęć jest szybkie. Posiadam już drukarkę ""brata"" ze średniej półki ale w jakości wydruku jak i szybkości ustępuje drukarce HP Smart Tank 515. Dodatkowo dużym, naprawdę dużym plusem jest system uzupełniania tuszu. Nie dość, że uzupełnia się stałe pojemniczki to jeszcze zakup ich jest bardzo ekonomiczny. Szybko zwróci się zakup. Producent do drukarki przewidział bardzo fajną i przejrzystą aplikację na smartfony. Jeśli ktoś szuka dobrej drukarki z tanią eksploatacją to polecam zakup Smart Tank 515","Super, wszystko sprawnie poszło z podłączeniem, korzystam i łączę się z telefonu bez problemowo. Polecam","Solidne wykonanie, zapas tuszy, tania w eksploatacji ma wszystko co  jest potrzebne w drukarce. Polecam!","Po kilku dniach testowania HP Smart Tank 515 jestem pozytywnie zaskoczona pod względem szybkości instalacji jak również drukowania . Design prosty, bardzo intuicyjna budowa drukarki przez to jest bardzo łatwa w obsłudze.Bezproblemowe połączenie przez Wi-Fi i Kabel USB. Kolory wydruku są bardzo dobre. Drukowałam zdjęcia i wykresy do szkoły , bardzo ładny wyraźny kolor. Wysoka jakość wydruku. Funkcje kopiowania i skanowania tez przetestowana wszystko dobrze działa. Drukarka zrobiła na mnie dobre wrażenie mam nadzieję że będzie mi towarzyszyć przez kolejne lata studiów. Jest to naprawdę porządny sprzęt.","SUPER DRUKARKA, UŻYWAM OD KILKU DNI I JESTEM POZYTYWNIE ZASKOCZONY, INSTALACJA I KONFIGURACJA MEGA PROSTA","Produkt zgodny z opisem, jakość wydruku bardzo dobra, prosta i wygodna obsługa. Bardzo polecam","Głowica z czarnym tuszem nie działała, ale po zgłoszeniu HP przysłało nową.",bardzo polecam fajna opcja drukowania bez rozciągania kabli za pomocą bluetooth i wifi,Super urządzenie. Fajnie ze można z każdego urządzenia drukować. Jak dla nas strzał w 10tke,Świetny produkt. Kupiony przez polecenie innego użytkownika.,Zgodna z opisem producenta. Trochę wolna ale wydruk świetnej jakości.,"Mam kilka dni, zależy mi na taniej eksploatacji i dlatego ją wybrałem","Urządzenie super,łatwe w obsłudze,jakość wydruku bardzo dobra.",Polecam. Drukarka po wstępnej instalacji działa bez zarzutu.,"Spełnia moje oczekiwania, jestem bardzo zadowolona z zakupu.",Wszystko super oprócz możliwości drukowana dwustronnego,Super  Ale jestem w trakcie testowania.,Super drukarka na domowy użytek. Bardzo wydajne tusze.,"Fajna drukarka, na domowe potrzeby wystarczająca 😀",Dwa tygodnie to za mało ale jak narazie ok.,MEGA SUPER DRUKARKA !!!! ŁATWA W OBSŁUDZE,"Świetna drukarka, szybka i bezproblemowam",Bardzo nowoczesne i użytkowe urządzenie.,Estetyka i jakość druku pierwsza klasa.,"Polecam, spełniła oczekiwania klienta.","Drukarka bardzo dobra,super jakość","Jakość druku ok, ale ciàgłe problemy z zacinaniem papieru. Drukowanie przez wifi oznacza ok 5min zwloki. Na kablu niemal bezzwłocznie.",Mógłby mieć lepszą jakość wydruku.,to prezent wiec jeszcze nie wiem,Dopiero otrzymałam i nie mam zastrzeżeń.,Działa perfekcyjnie!!! Polecam,Dobry stosunek jakości do ceny,Wygłąd i funkcjonalność super.,"Na razie wszystko ok, polecam",Bardzo fajna drukarka polecam,Trochę głośny ale poza tym ok,Tanie drukowanie w kolorze,Polecam tania w eksplatacji,Jestem zadowolony z zakupu.,"Produkt 5* , jest super",Sprzęt adekwatny doceny,Drukarka dla mnie super,Bardzo dobra drukarka,Towar zgodny z opisem.,Towar zgodny z opisem,Bardzo dobry produkt,"Urządzenie wielofunkcyjne HP Smart Tank 515 Wireless All-in-One  zostało moim nowym przyjacielem. Dlaczego ? Ponieważ pomaga mi w wielu dziedzinach życia. Drukuje dokumenty, piękne zdjęcia a także pomaga w pracach domowych mojego syna. Obsługa jest niezwykle prosta, a dzięki wi-fi mogę drukować z każdego miejsca w domu bez podłączania zbędnych kabelków. Wystarczy podłączyć urządzenie do prądu i włączyć. Jestem oczarowana prostotą użycia, wydajnością tuszy oraz designem tego urządzenia.",Dobra jakość do ceny,Bardzo ekonomiczny,"Super, polecam.",Polecam drukarkę,super urządzenie,Super produkt.,Produkt dobry.,super drukarka,Bardzo dobra,do domu ok,same zalety,Rewelacyjny,Polecam,Polecam,jest OK,Oki,Ok,Ok,Ok,"Bałam się systemu tuszowego, ale po rozpakowaniu okazało się że wszystko jest bajecznie proste. System dolewania tuszy to rewelacyjny system, koniec z kupowaniem kadridźów. Jakość wydruku bajka, czekam właśnie na papier fotograficzny i wtedy zacznie się dopiero prawdziwy test. Po wydrukowaniu ilości kolorowych kartek na które zwykle starczał mi jeden kadridz w tym ledwo tusz poszedł w dół. Możliwość podglądu ile jeszcze tuszu zostało to rewelacja!",ok,Ok,średnia jakość wydruku,badziew,POLECAM,polecam,"Koszmar. Zmuszenie jej do wydruku graniczy z cudem. Czasem drukuje po minucie a czasem po pół godzinie od wysyłki. Często w ogóle. Nie ma reguły, robi co chce. Zmiana komputera, konfigurowanie od nowa nic nie daje. Gwarancja nie obejmuje konfiguracji więc drukarka stoi bezużyteczna a ja musiałem wrócić do starej. Stanowczo odradzam drukarkę bez możliwości drukowania przez kabel!","Po około miesiącu od zakupu i drugim uruchomieniu skanera , tenże skaner odmówił posłuszeństwa. Niby poprzez aplikację do naprawiania błędów udaje się skanować testowo , ale już z poziomu aplikacji użytkowej wyskakuje błąd i nijak nie można go naprawić. Żenujące. Ostatni zakup od firmy HP."
pros,"['czyste napełnianie atramentem', 'niski koszt wydruku', 'szybkość wydruku', 'wydajna', 'wydajność']","['czyste napełnianie atramentem', 'głośność pracy']","['czyste napełnianie atramentem', 'jakość wydruków', 'jakość wydruku', 'niski koszt wydruku', 'szybkość wydruku', 'wydajna', 'wydajność']",[],"['jakość wydruków', 'szybkość wydruku', 'wydajność']","['jakość wydruków', 'jakość wydruku', 'szybkość wydruku']","['jakość wydruków', 'jakość wydruku']",[],[],[],"['jakość wydruków', 'szybkość wydruku', 'wydajność']",['wydajność'],[],[],[],[],"['głośność pracy', 'jakość wydruków', 'jakość wydruku', 'szybkość wydruku']",[],[],"['głośność pracy', 'jakość wydruków', 'jakość wydruku', 'szybkość wydruku']","['jakość wydruków', 'jakość wydruku', 'szybkość wydruku', 'wydajność']",[],[],[],"['głośność pracy', 'jakość wydruków', 'jakość wydruku', 'szybkość wydruku']",[],[],"['głośność pracy', 'jakość wydruków', 'jakość wydruku', 'szybkość wydruku']",['wydajna'],[],[],[],[],[],[],"['głośność pracy', 'jakość wydruków', 'jakość wydruku', 'szybkość wydruku']",[],"['czyste napełnianie atramentem', 'jakość wydruków', 'jakość wydruku', 'niski koszt wydruku', 'wydajna', 'wydajność']","['czyste napełnianie atramentem', 'głośność pracy', 'szybkość wydruku']",[],"['czyste napełnianie atramentem', 'drukowanie poprzez e-mail', 'głośność pracy', 'jakość wydruków', 'jakość wydruku', 'niski koszt wydruku', 'nowoczesność', 'szybkość wydruku', 'tani atrament', 'wydajna', 'wydajność']","['głośność pracy', 'jakość wydruków', 'jakość wydruku', 'szybkość wydruku']","['głośność pracy', 'jakość wydruków', 'jakość wydruku', 'szybkość wydruku']",[],"['głośność pracy', 'jakość wydruków', 'jakość wydruku', 'szybkość wydruku']","['głośność pracy', 'jakość wydruków', 'jakość wydruku', 'szybkość wydruku']",[],"['czyste napełnianie atramentem', 'głośność pracy', 'jakość wydruków', 'jakość wydruku', 'niski koszt wydruku', 'szybkość wydruku', 'wydajna', 'wydajność']","['głośność pracy', 'jakość wydruków', 'jakość wydruku', 'szybkość wydruku']",[],[],[],"['głośność pracy', 'jakość wydruków', 'szybkość wydruku']","['głośność pracy', 'jakość wydruków', 'jakość wydruku', 'szybkość wydruku']",[],"['jakość wydruków', 'jakość wydruku', 'szybkość wydruku', 'wydajność']",[],"['jakość wydruków', 'szybkość wydruku']",[],"['głośność pracy', 'jakość wydruków', 'jakość wydruku', 'szybkość wydruku']",[],[],[],"['głośność pracy', 'jakość wydruków', 'jakość wydruku', 'szybkość wydruku']","['czyste napełnianie atramentem', 'doskonały design', 'drukowanie poprzez e-mail', 'innowacyjność', 'jakość wydruków', 'jakość wydruku', 'niski koszt wydruku', 'nowoczesność', 'podajnik dokumentów', 'szybkość wydruku', 'tani atrament', 'wydajna', 'wydajność', 'zajmuje mało miejsc']","['głośność pracy', 'jakość wydruków', 'jakość wydruku', 'szybkość wydruku']",[],"['jakość wydruków', 'szybkość wydruku']","['czyste napełnianie atramentem', 'doskonały design', 'drukowanie poprzez e-mail', 'głośność pracy', 'innowacyjność', 'jakość wydruków', 'jakość wydruku', 'niski koszt wydruku', 'nowoczesność', 'szybkość wydruku', 'tani atrament', 'wydajna', 'wydajność']",[],"['głośność pracy', 'jakość wydruków', 'jakość wydruku', 'szybkość wydruku']",[],[],"['jakość wydruków', 'jakość wydruku', 'szybkość wydruku', 'wydajność']",[],"['czyste napełnianie atramentem', 'głośność pracy', 'jakość wydruków', 'jakość wydruku', 'niski koszt wydruku', 'tani atrament', 'wydajna', 'wydajność']","['czyste napełnianie atramentem', 'głośność pracy', 'jakość wydruków', 'jakość wydruku', 'niski koszt wydruku', 'szybkość wydruku', 'wydajna']","['jakość wydruków', 'szybkość wydruku']",[],[],[],[],[],[],[],['wydajność']
cons,['jakość wydruków'],[],['głośność pracy'],[],[],['głośność pracy'],"['głośność pracy', 'szybkość wydruku']",[],"['głośność pracy', 'jakość wydruków', 'jakość wydruku', 'szybkość wydruku']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['głośność pracy'],"['głośność pracy', 'szybkość wydruku']","['jakość wydruków', 'jakość wydruku']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['głośność pracy'],[],[],[],[],[],[],[],[],[],[],['szybkość wydruku'],[],[],[],[],[],[],[],[],[],[]
useful,19,3,0,3,3,4,1,0,6,8,3,1,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2
unuseful,3,3,0,0,5,0,1,0,1,4,5,4,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
post_date,2020-05-28 08:02:51,2020-12-10 19:41:04,2024-01-12 21:03:08,2021-11-18 17:47:41,2019-10-19 23:50:49,2020-12-04 00:11:48,2021-04-14 00:32:31,2024-01-08 15:16:39,2020-12-26 21:42:32,2020-10-20 18:00:33,2019-10-24 16:40:17,2019-10-15 20:30:19,2022-05-16 14:13:13,2020-04-10 05:51:12,2019-10-19 12:30:40,2020-08-24 07:37:37,2021-12-11 18:38:26,2020-05-06 07:46:33,2020-09-06 20:45:11,2021-12-27 22:41:41,2024-02-22 13:19:54,2020-02-10 11:32:05,2020-05-13 07:59:00,2023-02-16 20:36:59,2022-10-11 14:07:20,2020-10-30 20:47:50,2020-04-26 10:24:20,2020-12-08 23:38:19,2022-01-01 20:10:02,2022-12-17 09:08:05,2020-04-28 10:35:10,2020-03-16 15:19:09,2020-10-12 14:43:37,2020-02-04 08:47:33,2023-01-25 01:07:04,2020-12-03 19:39:55,2022-04-15 19:08:48,2020-11-10 20:22:42,2021-04-13 18:13:42,2023-12-23 15:16:48,2023-08-31 11:47:02,2022-01-26 14:17:44,2021-08-22 17:12:17,2020-04-15 20:50:09,2022-09-08 11:48:22,2022-04-23 21:12:46,2020-04-22 08:00:43,2020-12-21 10:53:30,2022-01-17 11:06:31,2022-06-29 13:27:23,2022-10-13 19:55:05,2020-12-01 09:21:18,2020-09-18 10:21:40,2020-10-11 21:22:55,2020-04-09 11:16:52,2023-04-27 23:06:09,2020-10-23 22:46:57,2019-10-11 17:45:44,2020-04-26 00:00:43,2022-05-30 09:35:05,2020-11-25 19:04:50,2020-09-11 15:10:55,2020-05-05 14:50:33,2022-11-14 10:17:42,2023-12-27 10:06:03,2020-10-30 08:13:36,2020-05-05 13:19:24,2020-08-30 18:13:33,2021-03-25 16:42:25,2022-08-20 10:52:31,2022-09-13 10:19:26,2022-04-01 20:42:22,2020-09-18 11:31:32,2023-04-25 06:20:21,2022-07-20 20:49:29,2020-10-28 07:00:10,2020-09-08 20:36:40,2019-11-25 07:33:30,2020-04-02 12:47:54,2020-04-14 22:59:01,2020-04-14 22:55:40,2020-11-28 17:08:14,2022-02-21 10:21:10,2022-03-09 11:10:06,2020-01-26 21:28:27,2020-02-27 23:47:28
purchase_date,2020-05-04 22:29:44,2020-12-04 21:02:01,2024-01-09 18:20:01,2021-11-01 18:36:33,,2020-11-17 18:04:01,2021-03-23 08:31:21,2023-12-18 13:21:12,2020-11-26 08:21:40,2020-10-16 15:51:18,,,2022-05-09 13:48:10,2020-04-06 11:59:42,,2020-08-15 17:09:03,2021-11-26 16:46:12,2020-04-24 09:17:08,2020-08-24 21:46:39,2021-11-26 23:16:40,2024-02-19 13:24:42,2020-01-31 09:12:05,2020-04-17 08:10:52,2023-01-11 22:28:49,2022-09-26 11:54:16,2020-10-17 09:28:11,2020-03-24 18:52:04,2020-12-03 11:37:21,2021-11-18 16:25:48,2022-11-25 20:38:20,2020-04-14 12:16:01,2020-01-05 15:34:15,2020-09-08 21:35:26,2020-01-29 17:33:53,2023-01-13 09:46:01,2020-11-03 12:33:27,2022-04-09 10:26:21,2020-10-27 19:23:29,2021-04-06 17:56:56,2023-12-20 11:35:25,2023-08-23 16:00:11,2022-01-11 16:27:46,2021-07-06 13:55:36,2020-04-06 08:50:47,2022-09-01 15:09:35,2022-04-09 10:10:50,2020-04-02 10:15:24,2020-11-27 17:23:25,2021-12-30 21:35:04,2022-06-22 18:19:15,2022-09-29 18:01:35,2020-11-08 00:19:21,2020-09-16 11:27:42,2020-10-02 14:46:16,2020-04-06 16:34:35,2023-04-24 22:20:56,2020-09-30 10:26:35,,2020-03-24 22:15:09,2022-05-13 13:34:56,2020-11-19 17:46:50,2020-09-04 21:08:01,2020-04-27 13:16:01,2022-11-06 17:50:50,2023-12-15 11:49:09,2020-10-12 09:59:59,2020-04-04 12:52:07,2020-08-16 15:59:37,2021-03-18 19:53:33,2022-08-16 12:05:37,2022-09-06 08:54:36,2022-03-20 09:54:22,2020-09-10 17:25:50,2023-04-14 16:30:39,2022-07-10 19:50:13,2020-10-15 22:18:40,2020-09-01 12:14:51,,2020-03-19 12:44:23,2020-03-24 10:57:16,2020-03-26 13:19:50,2020-10-28 14:03:29,2022-02-14 08:19:16,2022-03-08 11:01:43,,
